"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.453018573E0,1.184619999E1,-2.991440010E1,-3.045119858E1,4.429987903E1
2.463031513E0,1.176079941E1,-3.006079865E1,-3.108559990E1,4.481386548E1
2.473019550E0,8.027600288E0,-3.103679848E1,-3.278139877E1,4.585133947E1
2.483031757E0,9.528200150E0,-3.060980034E1,-3.152479935E1,4.496175540E1
2.493031757E0,1.100440025E1,-3.025599861E1,-3.003639984E1,4.403075734E1
2.503038593E0,1.005280018E1,-3.065859985E1,-3.008519936E1,4.411493802E1
2.513031513E0,1.033339977E1,-3.047559929E1,-3.081719971E1,4.455604449E1
2.523032001E0,1.058959961E1,-3.042679977E1,-3.097579956E1,4.469261598E1
2.533032001E0,9.857600212E0,-3.067079926E1,-3.089039993E1,4.463280203E1
2.543019550E0,1.033339977E1,-3.010960007E1,-3.013399887E1,4.383406273E1
2.553031513E0,9.906399727E0,-3.052439880E1,-3.090259933E1,4.455161415E1
2.563031513E0,8.527799606E0,-3.115880013E1,-3.165899849E1,4.523147551E1
2.573031757E0,1.057740021E1,-3.031699944E1,-3.013399887E1,4.403475602E1
2.583031757E0,1.022359943E1,-3.058539963E1,-3.059759903E1,4.445449046E1
2.593031513E0,9.833199501E0,-3.048779869E1,-3.092700005E1,4.452726146E1
2.603031757E0,9.625800133E0,-3.089039993E1,-3.079279900E1,4.466619870E1
2.613019550E0,9.698999405E0,-3.067079926E1,-3.092700005E1,4.462340023E1
2.623031757E0,1.210239983E1,-2.960939980E1,-3.045119858E1,4.416401400E1
2.633031757E0,8.783999443E0,-3.053660011E1,-3.248859787E1,4.544393892E1
2.643031268E0,9.198800087E0,-3.026819992E1,-3.070739937E1,4.408771059E1
2.653031757E0,1.013819981E1,-3.086599922E1,-3.012179947E1,4.430367712E1
2.663031757E0,1.096780014E1,-3.034140015E1,-3.035359955E1,4.429711287E1
2.673031513E0,1.118739986E1,-3.018280029E1,-3.023159981E1,4.416003823E1
2.683019061E0,9.552599907E0,-3.121979904E1,-3.159799957E1,4.543524617E1
2.693032001E0,1.095559978E1,-3.015839958E1,-3.018280029E1,4.405173851E1
2.703031757E0,1.156559944E1,-2.946299934E1,-3.126859856E1,4.449220917E1
2.713031513E0,9.589200020E0,-3.021939850E1,-3.148819923E1,4.468413022E1
2.723031513E0,7.356599808E0,-3.137839890E1,-3.243980026E1,4.572815456E1
2.733032001E0,7.222399712E0,-3.124419975E1,-3.303759766E1,4.604178466E1
2.743031513E0,7.673799992E0,-3.093919945E1,-3.245199966E1,4.548904869E1
2.753031513E0,8.479000092E0,-3.073180008E1,-3.230559921E1,4.538709860E1
2.763018817E0,9.674599648E0,-3.029259872E1,-3.252519989E1,4.548766914E1
2.773031513E0,7.271199703E0,-3.103679848E1,-3.351340103E1,4.625258105E1
2.783031757E0,1.074819946E1,-3.035359955E1,-3.170779991E1,4.519125327E1
2.793023700E0,1.096780014E1,-3.034140015E1,-3.035359955E1,4.429711287E1
2.803031757E0,9.503799438E0,-3.054879951E1,-3.273260117E1,4.577089178E1
2.813031513E0,1.104099941E1,-3.012179947E1,-3.050000000E1,4.426597419E1
